"","Vars","CBG","CT","C"
"MEDFI","MEDFI",-0.870756128049431,-0.896062663853077,-0.938093314720757
"INCDIS","INCDIS",0.859165348101884,0.925263464531879,0.944149432125849
"BELPL","BELPL",0.78054686642298,0.837133150756668,0.819720013556368
"PL150","PL150",0.862119570341859,0.908541864683447,0.879501730740763
"EDU9YR","EDU9YR",0.682000409794149,0.739418366108234,0.698777186748897
"HSDPNHIGH","HSDPNHIGH",-0.766630962237411,-0.782564884316193,-0.787562049805809
"EMPWC","EMPWC",-0.738081138240925,-0.806177187587766,-0.706657008288231
"UNEMP","UNEMP",0.473009875292463,0.596488681752185,0.493171628267559
"MEDHV","MEDHV",-0.567197929291403,-0.573779689192965,-0.724813606535375
"MEDRNT","MEDRNT",-0.597391746324413,-0.626243112658602,-0.718693242892341
"MEDMORT","MEDMORT",-0.615609819965463,-0.625310522978377,-0.771662503640291
"OWN","OWN",-0.501295770634871,-0.504482013918026,-0.027763575016807
"SNGPNT","SNGPNT",0.554780726828314,0.657454910513751,0.437352250218276
"NOVEH","NOVEH",0.394330845589523,0.42273273747695,0.259825268611726
"NOINT","NOINT",0.273119852118306,0.357519337465502,0.364750647108741
"NOPLUM","NOPLUM",0.18771984474337,0.221855983423473,0.243875071815834
"CROWD","CROWD",0.357128780869867,0.402219142026984,0.186135794449126
